ID,Date,Address,City,State,Zip,Num of Units,Comments,Completion Status,Units Category,High Unit Count,Long,Lat
243,10/14/2022 6:03,603 Mound Ave,South Pasadena,CA,91030,6,Also with 1415 and 1417 Grevelia St,Verified,4-6 units,< 14 units,-118.152011,34.11870598
244,10/14/2022 6:16,607 Mound Ave,South Pasadena,CA,91030,10,None,Verified,10+ units,< 14 units,-118.1519212,34.11854658
245,10/14/2022 5:05,1418 Magnolia St,South Pasadena,CA,91030,7,None,Verified,7-9 units,< 14 units,-118.1523256,34.11783037
246,10/14/2022 5:08,611 Mound Ave,South Pasadena,CA,91030,6,None,Verified,4-6 units,< 14 units,-118.1519234,34.1183947
247,10/14/2022 5:16,604 Fremont Ave,South Pasadena,CA,91030,4,None,Verified,4-6 units,< 14 units,-118.1528262,34.11847124
248,10/14/2022 5:36,608 Fremont Ave,South Pasadena,CA,91030,3,Also with 610 and 610 1/2 Fremont Ave ,Verified,1-3 units,< 14 units,-118.1528525,34.11833645
249,10/14/2022 5:38,612 Fremont Ave,South Pasadena,CA,91030,8,None,Verified,7-9 units,< 14 units,-118.1528506,34.11818373
250,10/14/2022 5:47,1127 Magnolia St,South Pasadena,CA,91030,9,None,Verified,7-9 units,< 14 units,-118.1538492,34.11764495
251,10/14/2022 5:53,1128 Hope St,South Pasadena,CA,91030,3,None,Verified,1-3 units,< 14 units,-118.1538601,34.11689517
252,10/29/2022 6:27,1508 1/2 Mission St,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.151249,34.11609099
253,10/29/2022 6:30,812 Fremont Ave,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.152873,34.1163136
254,10/29/2022 6:40,716 Fairview Ave ,South Pasadena,CA,91030,4,"Also with 718, 718 1/2 Fairview Ave, and 1100 Hope St.",Verified,4-6 units,< 14 units,-118.1549928,34.11693407
255,10/29/2022 6:54,1043 Magnolia St,South Pasadena,CA,91030,6,"Also with 1041 Magnolia St, and 705, 707, 709, and 711 Fairview Ave.",Verified,4-6 units,< 14 units,-118.1553452,34.11763897
256,10/28/2022 7:03,607 Fairview Ave,South Pasadena,CA,91030,4,"Also with 609, 611, and 613 Fairview Ave.",Verified,4-6 units,< 14 units,-118.155341,34.11847301
257,10/28/2022 7:25,809 Meridian Ave,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.157358,34.11619401
258,10/28/2022 7:32,1013 Mission St,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.1566331,34.11562919
259,10/28/2022 7:34,905 Diamond Ave ,South Pasadena,CA,91030,0,Entrance locked.,Denied Entry,,< 14 units,-118.156374,34.11547702
260,10/28/2022 7:39,1000 El Centro St,South Pasadena,CA,91030,0,In progress.,Tentative,,< 14 units,-118.1567063,34.11487559
261,10/28/2022 7:41,909 El Centro St,South Pasadena,CA,91030,0,Gate locked.,Denied Entry,,< 14 units,-118.1577976,34.11457774
262,10/28/2022 7:49,1100 El Centro St,South Pasadena,CA,91030,0,Is a commercial property.,Denied Entry,,< 14 units,-118.154781,34.11497
263,10/28/2022 7:53,1131 El Centro St,South Pasadena,CA,91030,0,Some units are accessible/ visible from st but majority are not. Gate locked.,Denied Entry,,< 14 units,-118.1546815,34.11460574
